,이름,평점,작성일,내용
2384,Google 사용자,5/5,2019년 8월 22일,"아이가 첫 단계부터 하루도 쉬지 않고, 매일 꾸준히 하고 있습니다. 시작한지 2주정도 된 것 같아요~ ^^ 설명을 듣고, 발음을 따라하고 더불어 곁들여진 문법을 쉽고 , 재미있게 익힐 수 있어서 즐겁게 하고 있습니다."
2385,문수영,4/5,2023년 10월 4일,매일 30분 정도 시간을 투자해서 회회연습을 할 수 있어 마음에 듭니다 주요 표현을 반복적으로 소리 내어 말함으로써 배운 내용이 기억에 잘 남습니다 내 발음이 정확한 지 체크할 수 있어 도움이 됩니다
2386,정혁상,2/5,2021년 12월 26일,"학습 중간에 앱이 멈춰서 진행이 되지 않습니다, 같은 학습만 3번 반복했는데 같은 위치에서 항상 멈추네요."
2387,최미나,5/5,2021년 4월 29일,엄빠가 주로 쓰는이야기 스텝을 만들어 줘서 좋아요~ 바로 듣고 아이들과 사용할수 있어서요 추가로 다시듣기 할때는 한국어 설명 없는것이 연습할때 좋을것 같네요~
2388,Hyung Seok Shim,5/5,2021년 3월 5일,매일 하루도 빼먹지 않고 잘 사용하고 있어요. 아쉬운게 하나 있어요. 출근할때 운전하면서 따라하다보면 데이터를 너무 많이 써요. 미리 다운 받아놓고 들을 수 없을까요?
2389,su a,4/5,2023년 5월 22일,AI튜터기능이 참 좋아요. 근데 음성인식이 안돼서 너무 답답합니다.. 다른 리뷰들 보니까 공통적인 문제사항같은데 언제쯤 개선이 될까요?
2390,정연주,5/5,2024년 1월 7일,광고보고 사용해봤는데 좋네요
2391,Google 사용자,5/5,2019년 10월 3일,어려웠던 표현이나 기억해두고 싶었던 표현을 따로 책갈피나 별표로 체크해두고 다시 모아서 찾아볼수있는 기능이있었으면 좋겠습니다
2392,김진기,5/5,2023년 11월 27일,아주 기가막히게 알려주십니다 바로 샌프란시스코 가고싶네요
2393,게임,1/5,2024년 1월 8일,"쓰레기 어플, ai튜더 안드로이드 음성인식 안됨 플러스 필요 없음, 원화금액과 결제금액 다름 , 그부분에 대해 공지 없음 , 당연히 환불도 원화금액만 환불 가능 , 카드수수료 2천원 정도 라고 써있으나 8천원가량 나옴 , 고객센터 불만 토로 하면 답없음 , 광고만 오질나게 하고 대응 별로"
2394,Jieun Seo,4/5,2023년 4월 20일,다른분들 후기대로 갤럭시 인식률 너무 안좋고요... 그리고 제발 개선했음 좋겠는거...Ai튜터랑 얘기할때 가뜩이나 자기맘대로 잘못인식해서 이상한 단어 쓴것처럼 됐는데 다시해서 고치려하니까 튜터가 자기맘대로 대화끝내서 못고치고 끝나더라구요? 종료 직전 대화도 고칠수있도록 이거 제발좀 개선해주세요.... 답답해서 속터짐
2395,po,4/5,2023년 3월 11일,좋긴 한데.. 제발 문장 넘어갈때마다 한국어 영어 읽어주는 기능은 선택할 수 있게 바꿔주셨으면 좋겠어요.. 저는 빨리빨리 나가고싶은데 너무 답답해요
2396,Sue Kim,5/5,2021년 5월 3일,조금이라도 매일 꾸준히하니 문득문득 영어가 머리에서 멤돌거나 입에서 나와요! 한문장을 여러번 반복해서 입에 붙게끔 해줘 좋은 것 같아요
2397,pumhyun Hong,5/5,2023년 1월 3일,2번째 연회원 결제로 하고 있어요. 꾸준히는 못하지만 알람을 설정해 놓으면 어떻게든(?) 하게 되요. 옆에서 초등생 아이들과 같이 할 수 있어서 더 좋아요.
2398,이지원,3/5,2020년 11월 25일,"다 좋은데, 음성인식 시작과 동시에 틀린걸로 인식하고 반복되는게 너무 잦아요. 이 오류 좀 제발 고쳐주세요"
2399,life new,1/5,2023년 3월 23일,일단 AI가 엉터리임 칠리를 실리라고 발음해도 잘했다고 함. 머기를 머미라고 해도 Ai가 잘했다고 넘어감. 요즘 AI가 인기대세니 너무 준비가 덜 된 상황에서 급하게 만든 느낌. AI가 가르친다고 하길래 잔뜩 기대하고 완전 유치원생부터 초중등고급까지 전 과정의 수준이 있는 줄 알았더니 아직 강의도 부족하고 컴퓨터 인터넷에서 들어가면 무료체험버튼 옆에 29만원을 넘어서 무제한 프리미엄 45만원짜리 업그레이드 버튼만 있고 달랑 안드로이드와 애플 앱으로 개발된 것 같다 너무 준비가 덜 돼 있고 나 스스로도 발음도 정확하지 않다고 스스로도 생각되는 것을 굳이라고 AI가 눌러버리는 이 상황을 대체 어떻게 이해해야 되는 건지 별 1개도 아깝다
2400,JH K,1/5,2023년 2월 9일,"구성이 좋아서 꾸준히 하면 실력이 많이 향상될 것 같은 느낌이 들었는데, 음성인식이 안 좋아 결국 멤버쉽 취소했네요. 어서 좋아지기를 바랍니다."
2401,Google 사용자,5/5,2020년 4월 18일,"""설명이 쉽고 이해하기 좋아요 !! 칭찬도 너무좋아요 쉬운 예시들과 반복 학습 및 스피킹이 아주 좋습니다 외우는걸 잘 못해서 무한 반복해야겠어요 😅"""
2402,김지영,3/5,2023년 10월 23일,"리스닝 리뷰에서, 다음으로 안넘어가요... 사소한 오류들이 꽤 많네요"
2403,박성경,5/5,2022년 8월 28일,영상속 튜터들을 따라하다보면 나도모르게 발음 딕션 등등 따라하고 있는걸 발견할수 있음 의지를 가지고 꾸준히 한다면 길거리에서 외국인을 만났을때 조금은 당당할수 있을지도...
2404,윤은영,2/5,2022년 5월 20일,"스피커 가까이 대도 인식이 안되고,크게 말해도 인식이 잘안되네요 처음엔 잘되던데.갈수록 점점 더 심해서 학습에 집중이 안돼요"
2405,최병선,5/5,2024년 1월 11일,매일매일 찾아 영어 공부하게 되요
2406,beclear jeong,5/5,2023년 1월 13일,"스픽을 통해서 하는 영어에 대한 자신감이 더 상승되길 기대할 만큼 컨텐츠와 수업, 발음 연습등이 쉽고 재미있어요. 결제하길 잘 한 것 같아요. ^^"
2407,오주형,5/5,2023년 1월 10일,영어문장을 반복적으로 발음하면서 내 발음도 체크해보는 것이 좋습니다. 영어 말하기가 부담스러운데 이 어플로 많은 연습에 될거 같습니다. 좋은 어플 감사합니다.
2408,남수현,4/5,2023년 6월 9일,간단하고 재밌습니다ㆍ그냥 따라하게 됩니다ㆍ일상생활 에서 많이 쓰이는 단어ㆍ문장이라 더 흥미롭습니다ㆍ계속 할 꺼예요ㆍ^^
2409,윤지혜,4/5,2023년 3월 24일,매일매일 말하기 연습을 할 수 있어서 좋아요! 하지만 인식을 못 하거나 오류가 나는 경우도 종종 있어서 불편할 때가 있네요. 이런점만 제외하고는 만족하며 사용중 입니다~
2410,eeon Y (예언),5/5,2021년 9월 6일,결제를 하지 않고 수업을 들을수 있는 방법이 있을까요?이 앱을 사용하면 이해도 쉽고 게임하는 느낌이 들어 지루하지 않아서 계속 할 수 있는데..결제 때문에 1차시거부터 하지 못하고 있습니다.어떻게 하면 1차시걸 들을 수 있나요?
2411,김지환,5/5,2023년 7월 27일,"정말 재밌게 영어하고 있습니다! 하지만 사람이 아니다 보니 음성인식이 좀 문제가 있습니다. 'Yesterday, i made a score.' 가 문제있는 말인가요? 인식 문제 말고는 정말 편하게 영어 연습을 할 수 있는 앱 같습니다!"
2412,윤서,5/5,2022년 5월 19일,제가 영어앱 이것저것 다 해봤지만 스픽이 짱이네요 반복하면서 계속 스피킹하고 머리에도 쏙쏙 들어오네요 영어시험 20점에서 100점으로 늘었어요 스픽 하니까 영어실력이 엄청 느네요
2413,HohohoH,5/5,2021년 2월 6일,기초부터 어렵지않게 말하기를 시켜줘서 좋습니다 한가지 궁금한게 혹시 음량 조절은 못하나요? 선생님 스피킹 소리 사이사이 띵동하는 소리만 줄이고 싶은데 그건 안되는 건가봐요 ㅜㅜ 가능하게ㅜ해주세요 띵동소리만 너무 커서 줄이고 싶어요
2414,송송이,5/5,2021년 9월 4일,"실용성도 있고,재미있게 공부할 수 있는 시간인것 같아요.밖에서도 자유롭게 시간을 아끼면서,영어로 말할 수 있는 기회도 많고 좋네요!영어를 못하는 사람들도 쉽개 할 수 있어요!영어를 처음 배우는 저로써 아주 도움 되고 좋아요."
2415,Hy J,1/5,2022년 11월 23일,몇번 결제했음에도 자꾸 오류라고... 이러고 결제되는 건 아니겠죠.? ? 열번 정도 결제 시도했으나 계속 오류라는 메시지만 보다 열받아서 앱삭제함 .마이너스 별점도 있으면 선택할뻔.
2416,Zzik,5/5,2021년 12월 10일,어려운 문장은 계속 복습 하니까 잘 되더라고요. 다음에는 더 열심히 해서 외국가서 한 문장이라도 말하고 올게용
2417,얄루룰라라,5/5,2021년 1월 16일,실시간피드백이 있으면 좋겠고 몇일이상 수업연속클리어하면 보상해주는것도 좋을거같음. 외국드라마대본을 같이외우는것도 재미있을것같음.
2418,오선영,1/5,2021년 5월 11일,계속 오류라 답답해요 말하기 연습중에 현재 준비줕인 레슨입니다 곧출시됩니다가 계속 뜹니다 닫으면 스픽 자체가 꺼집니다 스픽앱을 삭제했다 다시켜도 같은 현상입니다 정말 불편해요
2419,Google 사용자,3/5,2019년 9월 29일,앱 설치후 3일 무료체험 후 결제 된다는 페이지가 뜨길래 뒤로가기 했더니 앱이 되더라구요... 전 강의도 들을 수 있는것으로 보아 결제가 될것 같은데... 취소 요청 드립니다. 솔직히 이런식의 진행은 뭔가 황당하네요... 결제가 안되도록 하기위한 자세한 안내 부탁드립니다.
2420,김현주,4/5,2023년 6월 29일,세상에 프로그램 너무 좋은데 다른 어플들에 비해 음성인식률이 좀 떨어지는것 같습니다... 다들 왜 음성인식 음성인식 하는 줄 알겠어요 반복하다가 한 번씩 화가 나요ㅋㅋ
2421,서윤아,5/5,2022년 5월 10일,다양한 방법으로 반복함으로써 기억을 오래해주고 적당해서 지루하지않아 데일리로 스피킹 학습에 좋아요.발음교정도 되고 좋아요
2422,전근우,1/5,2022년 6월 21일,다른 어플보다 발음 연습을 위주로 하는 어플이라고 광고했던것 같은데 음성 인식하는게 쓰레기네요. 음성인식만 잘 돼도 괜찮을 텐데 1도 제대로 안돼서 삭제합니다
2423,Google 사용자,4/5,2019년 4월 20일,한가지 요청사항이 있어요!! 어플 자체는 너무 좋은데요!! ㅠㅠ 스피킹을 계속 할 수 있는건 좋은데 지하철이나 버스에서는 막상 영어를 하기가 부담스러워서 어플을 쓰기가 조금 힘들어요 이런 부분 어떻게 안 될까요?
2424,융또잉,5/5,2021년 1월 14일,1년정기결제가 3일무료체험후에되는데 오늘 방금 막 체험했는데 하자마자 감이왔습니다. 이거다!..진짜 1년에 맨날 이렇게만 해도 확 늘거같아요 다른 분들도 추천할게요!! 음성 인식도 다른것보다 잘되어서 좋네요
2425,i h,3/5,2022년 3월 24일,아니 저번에 하라는대로 구독취소해놨는데 왜 다시 돼있는걸까요 왜 결제가되려는걸까요 다행인지 카드를 잃어버렸다 찾아서 정지를 해놨더니 결제는 안됐네요...앱은 정말 좋은데 이런 시스템은 불편한거같아요...ㅠ
2426,jenny oh,3/5,2022년 1월 13일,"아니 며칠연속 스피킹하면 낸돈 다시 환불해주는 챌린지 가입했는데, 오늘 들어가니 수업 플레이가 안되서 업데이트가 있는건가 들어왔는데 그것도 아니고.. 폰전원 껐다 켰는데도 수업 시작이 안되네요ㅡㅡ"
2427,Yang Yeong joo,5/5,2020년 7월 18일,무료 체험 해봤는데 막상 대화는 하면 단어들이 뒤엉켜서 쉬운문장조차도 말 못 했는데 연습할때도 갑자기 물어보니 순간당황해서 못하기도 했지만 계속 연습하니 조금씩 머리에 들어오는거 같아요 정말 좋네요^^
2428,HJ,1/5,2023년 1월 17일,뭔 자동결제를 이런 식으로 만들어놨는지 모르겠음 사전 결제 알림도 없이 체험기간 지나면 1년치 끊음 환불은 대체 왜이렇게 번거로운거며 아이디당 하나밖에 없을 주문번호를 왜 소비자 메일에서 찾아오라는건지 모르겠음 구글 용량 없어서 메일 안왔는데 이거 때문에 환불 못해준다고 하진 않겠죠 ? ㅋㅋ
2429,Google 사용자,5/5,2019년 6월 28일,오늘 하루동안 써보고 바로 이거다 싶어서 구매했습니다. 항상 영어공부 꾸준히를 못해서 힘들었는데 이 어플은 재밌어서 꾸준히 할수있을거같아요. 한 가지 아쉬운 부분은 수업이 충분하지 않은거같은데 앱 살펴보니깐 계속 업데이트중인거 같아서 구매 결정했네요
2430,MS Y,3/5,2023년 5월 13일,내용은 알차고 좋은데.... 안드로이드는 진짜 발음인식 구립니다. 발음인식이 너무 안좋으니 이게 올바른 발음인지 아닌지도 모르겠어요. 개선이 필요합니다.
2431,치즈,3/5,2023년 1월 22일,발음을 텸에 시쟉할젹ㅇㅔ...초ㅣㄷㅐ한 또박또박했능데도 a.i가 먹통인ㅈㅣ 인식도 별 앙되고ㅠ 그것만빼면 좋았능ㄷㅣ...ㅠ그리고나서 a.i튜터랑 발음연습하고능 조굼씩 알아듣더라구여...ㅋ 그거무료체험하다가 유료로젼환해야하능데...유료로젼환해도 나쁠거 같지 않은 어플이에여...ㅋ 인식이 덜되서 댭댭하게 느끼능거만빼면 난이도나 이런면에서 개인젹으루 져항티는ㅋ 무난했다고봐여 회화복습하거나 좀 더 정확한 표현을 위한 미묘한 뉘앙스 공부하기 좋은어플같아여...ㅋ
2432,유하이,1/5,2023년 2월 2일,무료체험 중인데 화면멈춤이 계속되요.조치를 해봐도 반복입니다.체험 전부터 구독해보자 마음먹고 들어왔는데 많이 허탈합니다.
2433,Moon하나,1/5,2022년 6월 11일,환불을 요청드립니다. 발음도 잘 알아 듣지 못하고 불편하네요. 환불 요청을 넣었는데 구독을 취소하고 환불 요청을 드려야 하나요? 또한 일주일 사용후 구독이 되기로 한 건 맞지만 결제전 한번은 알람이 와야 하지 않나요?
2434,이성,5/5,2022년 9월 23일,반복적인 연습에 살짝 변화를 주어 거부감이나 두려움없이 학습을 이끌어가는 모습이 인상적이네요 마지막 원어민의 실전대화는 압도적이였구요
2435,Google 사용자,5/5,2019년 12월 27일,결제를 했는데 무료체험 3일이끝나니 정식으론 사용도 못하네요. 계속 결제하라고만 뜨고 문의를 해도 아무답도 없고 이런식으로 돈만받으시나요 ---------------------------------------------- 지금은 문제해결됐습니다 앱 자체는 너무좋은데 문제가 생겨 당황했었는데 해결돼서 다행이에요. 앞으로도 계속 사용할 예정입니다- 감사합니다..
2436,임보은,5/5,2020년 7월 17일,영어 공부를 이론으론 알아도 말로 직접하는건 어려워 하는 사람들에게 아주 좋은 어플인거 같아요. 스피킹 연습을 통해 무의식중에도 문장이 만들어질 수 있게끔 교육을 할 수 있어 좋습니다. 가격도 다른 곳보다 저렴하구요.
2437,hyeran kim,5/5,2023년 3월 24일,반복적인 학습으로 말하는데 많은 도움을 받고 있어요. 다양한 콘텐츠들이 있고 스스로 학습하기 너무 좋은것 같아요.
2438,Jh L,1/5,2022년 3월 21일,중간해지가 어렵고 환불도 안되고 중지도 안되고...1년간 월 1만원씩 내게 생김ㅠㅜ 앱상에서 알수있는 정보가 너무 없음. 고객센터에 메일까지 보냈는데 환불은 자기네 소관이 아니래. 어이상실. 신중히 구매하세요. 몇달 이런식으로 나눠살수도 없고 한번 파는게 목적인 앱일 뿐.
2439,Google 사용자,5/5,2019년 4월 24일,"저는 영국에서 공부중인데 밤에 자기전에 Day 하나씩 듣고 있어요ㅎㅎ 막상 분량이 얼마 안되는거 같아도 오늘의수업, 스피킹 연습, 실전 대화 다 끝내니깐 20분정도 걸리네요. 매일 밤 꾸준히 하고 자려고 노력중이에요 ㅎㅎㅎ"
2440,동정태,5/5,2022년 1월 20일,"제가 해외에 살았을때 진작 이 어플을 알았더라면 ㅠㅠㅠ 더 다양한 표현 써봤을 것 같아요ㅜㅜㅜㅜㅜㅜ 지금은 코로나때문에 한국에 어쩔 수 없이 들어와서 정착했지만, 나중에 해외에 다시 나가게 될 때를 대비해서 미리 공부 열심히 해둘게요!!!!"
2441,권도완,5/5,2023년 1월 25일,다 좋은데 AI가 발음을 못 알아들을때가 많아요 축구 얘기해서 winger 라고 발음하는데 winner로 알아듣고 수정 기능이 없으니까 winner라고 답해버린 상태에서 대화를 이어나가야되는게 아쉽네요 그래도 사람하고 얘기하는 것처럼 AI가 답하고 물어보는건 좋아요
2442,Jiyun Kim,3/5,2022년 3월 8일,스픽 불 안 꺼트리게 하루에 한 강의씩 듣는데 요즘들어서 매일 중간중간 무한 로딩이 걸리고 다음으로 넘어가질 않아요.. 말하기는 당연히 안 되구요.. ㅠ 너무 불편해요 빠른 시일 내로 개선해주세요~!
2443,C JJ,4/5,2022년 1월 17일,직접 말하면서 영어공부할 수 있어 좋습니다! 할인코드 받아 결제하려고하면 원화결제만되는데 달러로 결제 가능한가요? 원화결제하면 수수료 많이 나옵니다 ㅠㅠ
2444,이재원,2/5,2023년 4월 25일,안드로이드는 쓰지마세요. 구성은 괜찮으나 음성인식이 진짜 온 힘을 다해 소리쳐야 반정도는 인식합니다. (짧은 문장) 결제 취소 바랍니다. 정기결재 구독 취소가 안돼요
2445,워킹주부,5/5,2021년 11월 22일,이거 오늘 첨 해봤는데 초급부터 해서 그런가요 일단 너무 재밌어요ㅋ 문장도 다양하게 말해볼 수 있고 혼자 하니 창피한것도 없고 수업 길이도 짧은데 말하는 시간이 절반 이상 되는거 같네요! 발음 교정 클래스도 있다면 더 완벽할거 같아요ㅎ
2446,복희정,3/5,2023년 7월 29일,환불신청을 해놓았는데 아직 환불처리가 되지 않았습니다. 딸냄의 실수로 자동결제가 되었어요. 몇일전 환불처릴해놓았는 아직도 환불이 안되었습니다.환불처리 꼭 부탁드립니다.
2447,Dao Sun Sin,5/5,2020년 5월 3일,"""마지막에갑자기 제가 질문하는 부분이 생겨서 당황스러웠지만, 예전에 배운것을 복습할 수 있어서 좋았습니다 앞으로도 이런 부분이 많이 추가 됐으면 좋겠습니다"""
2448,Google 사용자,1/5,2020년 4월 8일,"앱 깔고 잠깐 둘러보기 위해 무료 3일 체험 눌렀더니 밑에 3일후 자동결제라는 말이 있네요. 놀라서 둘러보지도 못했네요. 이게 무료체험인가요? 제 요청사항은 3일 후 결제 안되게 해주세요. 메일 보냈습니다. 메일 받았는데 질문에 대한 답은 없고, 고객센터 질문항목 참고하라는 내용 밖에 없고 질문항목 누르면 답변으로 넘어가지도 않습니다. 그리고 답변을 48~72시간 이내에 준답니다. 무료체험 후 자동결제 넘어가는거 원치 않으니 조치를 취해달라는데 제대로 된 답변이 없네요. 이 앱 깔려는 분들 무료체험이라고 해놓고 3일후 자동결제된다는 거 꼭 기억하세요. . 주소가 미국 샌프란시스코로 되어 있는데 샌프란시스코 시간 현재 저녁 7시38분인데 제가 추가 메일 보낸 후 하루 가까이전혀 답장 없습니다. 빨리 조치해주세요."
2449,아요,4/5,2022년 1월 8일,배우기는쉬운데 음성녹음이 잘 안돼요 ㅜㅜ 잇츠 머기 하고있는데 잇츠는 계속 잘되는데 머기쪽이 녹음이안되네요.. 가끔씩 녹음이안되는 단어들이 너무많아요 ㅠㅠ
2450,윤은정,5/5,2021년 1월 7일,영어 공부를 한다고 하지만.. 늘 스피킹이 잘 안되서 스피킹 위주로 공부 하고 싶어서 스픽 선택했어요. 꾸준히 잘 해보고 싶어요!!😍
2451,양몽키,1/5,2022년 2월 1일,"음성 인식률도 낮고... 특히 고객센터 전화번호도 없습니다. 무조건 메일로 문의해야하는데, 이거 답변 받으려면 일주일~10일은 걸립니다... 앱자채는 좋은데, 저 단점이 굉장히 치명적이에요"
2452,Jay,3/5,2022년 1월 14일,인식을 잘 못하는거같아요. F발음을 일부러 P로 발음해도 그냥 통과시켜주네요. 아무래도 핸드폰이 인식하는데는 한계가 있는걸까요? 아주 기초적인 발음도 구분을 못하는데 유로는 아니라고 봐요. 차라리 유튜브에서 발음 찾아보는게 확실히 더 도움이 될듯해요.
2453,조유진,1/5,2022년 12월 27일,AI랑 대화하는데 도저히 진행이 안되네요.. AI 질문이나 대답에 답변을 하는데도 그냥 계속 멈추기만 해요. 음성 인식이 전혀 안됩니다. 빨리 개선 좀 해주세요. 답답하네요
2454,KH Lee,1/5,2021년 1월 18일,금일까지 무료체험이고 18일 결제예정이라고 하였는데 갑자기 결제 되었네요. 방금 안내된 정기결제로 결제 취소 했는데 아직 카드 취소는 안되었어요. 해당 확인 부탁드립니다.
2455,방선미,4/5,2023년 6월 22일,잘 사용하고있습니다 ai튜터도 재밌어요 그런데 수업시 음성인식이 너~~~무 안되네요 큰소리로 또박또박 말해야 겨우 알아들어요
2456,Google 사용자,5/5,2020년 2월 8일,짧은 문장을 반복해서 연습하니 금방 익히기 쉬웠어요.금방 익힐거같아요.맘편히 발음 연습할수있어 자신감도 붙네요.
2457,최선희,1/5,2023년 2월 4일,광고에 현혹되어 설치했다가 가시성이나 여러면에서 차별화를 못느껴 삭제하고싶다고 금방 맘이 바뀌었는데 1주일 이내에 결제를 취소해야하는 번다함도 이용자몫이네요. 살펴본 뒤 결제할수있으면 좋겠습니다.
2458,znede lee,1/5,2022년 3월 1일,특정단어 인식 안됨. 어려운 단어도 아니고 영어권국가 살다와서 발음 틀리거나 안좋은것도 아닌데..인식 자체가 안되니 짜증남. 감 떨어질까봐 걍 해본건데 못쓰겠음.
2459,Kim Hoyoung,1/5,2023년 1월 30일,"7일 무료에 낚인 고객입니다. 하루 사용하고 탈퇴를 했는데, 탈퇴하는 과정이 너무 어렵네요. 저는 아직도 탈퇴를 못 하고 있습니다. 앱이 좋으면 그것으로 끝인가요? 전체적인 고객의 경험을 중요시 하는 곳인지 심히 의심이 나네요. 사용하실 때 주의하시기 바랍니다."
2460,SW J (J.D95),4/5,2022년 1월 6일,스픽은 영어 말곤 없나요? 다른 언어도 있으면 좋을 거 같아요 확실히 약간에 인식이 떨어지는 거 빼고는 편하고 실시간?으로 본인의 발음을 체크하면서 배우는 건 스픽이 좋은 것 같습니다
2461,Google 사용자,5/5,2019년 4월 20일,집에 책만 엄청나게 쌓여있고 영어공부 하나도 안하는 1인입니다. 책은 재미가 없었는데 스픽은 시간도 금방가고 실력이 느는 느낌이에요! 앞으로 이 어플로 꾸준히 해보겠습니다 화이팅!
2462,0o0 o,5/5,2021년 10월 13일,재미있어요! 원래부터 영어 배우는걸 재미있어 했는데 직접 말할 수 있는 기회가 없었거든요ㅠㅠ 이번에 마침 세일도 하길래 1년 정기권 끊었네요 ㅎㅎ 좋은 어플 만들어주셔서 감사합니다.
2463,Google 사용자,5/5,2019년 8월 29일,"발음을 자세히 알려주셔서 좋았어요. used to에서 d가 묵음이라는거 처음 알았어요 대.충.격. would 발음도 입모양알려주시며 설명해주셔서 좋았어요 이때까지 [우드]로 발음했었던,, ㅠ 감사합니다"
2464,장윤혁,5/5,2022년 7월 21일,처음 사용해보지만 괜찮다는 느낌이 들어 추천후기 남깁니다 나만의 무한반복 연습기능이 특히 좋은 듯..
2465,한아름,3/5,2020년 6월 8일,정기결제해서이용하고 있는데 업데이트하라고해서 눌렀는데 업데이트가안되고 제거 열기나오는것만 나와요. 어떻게된거죠?스피킹연습하고있는데 갑자기이래요
2466,김동진,5/5,2022년 7월 3일,무료로 4일째 사용중입니다. 매일 말할 수 있도록 만들어진 컨텐츠에 감탄했습니다. 전화 영어하기는 부담스럽지만 말하기 습관이 필요한 사람들에게 도움이 많이 될 것 같네요.
2467,S Q,4/5,2023년 6월 17일,크레딧 수가 너무 적습니다. 설치 첫날 ai튜터와 같은 상황에서도 이런저런 식으로 바꿔가며 말하다보니 2000 크레딧 금방 채워지던데 무제한 이용은 없나요? 스픽 사용 이유가 실전대화 대비인데 10000 크레딧도 하루면 끝날것 같아요.
2468,Sehee,5/5,2021년 8월 29일,이것참 좋은 시스템이네요! 교육 전문가이시고 영어강의경력 많으신분들이 만든게티가나요. 학습자입장에서도 따라하기쉽고 재밌어요^^ 앱을 참 잘 만들어주셨네요~ 감사합니다
2469,밍기적,5/5,2023년 9월 1일,스피킹 연습이나 실전대화도 지하철모드가 있었으면 좋겠어요 ! 다른 부분은 너무 만족하면서 사용하고 있습니다 감사합니다
2470,김정인,5/5,2023년 2월 14일,실제 대화하는 듯 천천히 설명해주면서 발화를 유도하니 재미있고 기억에 잘 남습니다. 여유있는 시간에 아무때나 학습하니 편리합니다.
2471,공재성,4/5,2022년 1월 16일,"프로그램이 스비킹 위주로 잘 짜여 있습니다. 다만, 저는 차량 거치대에 놓고 학습하는데 글씨가 작아서 안보입니다. 2배로 키워주셨으면 합니다."
2472,방종태,5/5,2023년 4월 16일,실제 사용해보니 너무 좋은 앱이라고 생각됩니다~ 저는 대형선박 선장 출신으로 실무 경험이 많은 편인데 이런 좋은 앱이 예전에도 있었으면 얼마나 좋았을까 하는 생각을 해봅니다. 적극 권장드립니다~
2473,최호경,5/5,2020년 5월 31일,강사에게 1대1 개인레슨을 받는 느낌이네요 아주 좋습니다. 그런데 제가 말한 것을 녹음으로 들어볼 수 있는 기능만 있다면 더 완벽할 것 같네요
2474,김은정,5/5,2023년 2월 28일,"왕초보 부터 차근차근 해보고 있습니다. 음... 대부분 중간에 그만둔 영어공부 였지만, 이 스픽은 계속할수 있을거 같은 느낌이 들어요. 쉬운것부터 해서 그럴까요? ㅎ 말하기 연습 또 연습! 파이팅!"
2475,Google 사용자,1/5,2020년 4월 23일,도대체 무엇 하는 것입니까? 신용카드 결제 고지서 보고오늘 알았습니다. 2020. 3. 18. 결제가 되었는데 내가알았다면 그동안 공부를 했겠지요! 황당합니다 환불처리 요청합니다. 오늘 구글에 신고 했습니다. 관계당국과 언론사에 신고 해야 할듯합니다. 아주 황당 합니다. 구글 페이 카드 등록 취소 해야겠어요
2476,김민혁,5/5,2023년 6월 24일,정말 좋습니다. 여러번 반복해서 말을 하기 때문에 하루가 지나도 자연스럽게 기억을 하면서 복습할 수 있는 좋은 앱입니다.
2477,이진선,5/5,2023년 3월 21일,너무 잘쓰고 있고 꾸준히 스픽으로 연습하니 실력이 전보다 진짜 많이 늘었어요~! 그런데 비지니스 영어 코스가 많지 않아서 아쉬워요~~회사에서 유용하게 쓸수있게 비지니스 회화코너좀 더 늘려주세요~~
2478,Annie Hyo Eun Lee,1/5,2020년 12월 11일,비밀번호 오류라고 떠서 password reset을 했는데 새로운 pssword로 계속 다시 로그인 시도해도 오류라고 뜹니다. 무료테스트 후 앱삭제 했는데 저도 모르는 사이 구독료가 나가서 환불요청드립니다ㅜ 구독은 벌써 취소했습니다.
2479,Yena Lee,5/5,2021년 1월 13일,스픽 늘 너무 즐겁게 영어를 배울 수 있어서 좋았습니다! 영어말하기 시험 대비 컨텐츠가 들어오면 돌아올게요
2480,강진희,5/5,2021년 12월 17일,음성인식이 너무 안되서 학습하는데 지장이 많습니다. 음성인식시 시작음이 있었으면 좋겠네요.
2481,덤앤더머형제,4/5,2022년 2월 21일,매우 유용하게 쓰고 있어요. 그런데 사용하는 중에 계속 인식이 안되는 단어들이 있어서 스피킹연습할때 짜증나서 별 1개 뺐어요
2482,olivia,2/5,2021년 9월 30일,"안드로이드폰인데 음성인식률이 너무 떨어져요 흠..음...이런것도 인식을 못하는건 사용자의 발음문제는 아닌거같아요 1년결제해서 사용중인데 초기부터 음성인식에 관한 건의를 했는데 개선이 되긴 되나요??벌써 3,4개월 지난거 같은데요"
2483,SANG BIN Choi,5/5,2022년 12월 12일,너무 좋습니다 개선사항 하나만 말씀드리면 인기문장 자동 재생 기능이 잇으면 청취를 통한 실력향상에 도음이 될거 같아요
2484,김테이,1/5,2022년 5월 15일,진짜 인식이 너무 안돼서 하다가 열받아가지고 진도 못나간게 한두번이 아니네요 ^-ㅠ 수업 내용 좋아서 배우고 싶어도 이래 방해될정도면 진짜 개선해야하는거 아닌가요 무료로 이용하는 앱도 아니고 돈내고 수업 듣는건데
